sample,video_id,video_row,video_col,power_mW,speed_mm_s,distance_um,replicate,resistance_kOhm_sq
sample 8,S502,,,50.0,13.0,110.0,2,1.81
sample 8,S503,,,50.0,5.0,110.0,3,0.48
sample 8,S504,,,50.0,7.0,110.0,3,2.43
sample 8,S505,,,50.0,9.0,110.0,3,2.22
sample 8,S506,,,50.0,11.0,110.0,3,1.9
sample 8,S507,,,50.0,13.0,110.0,3,1.48
sample 8,S508,,,50.0,5.0,120.0,1,0.67
sample 8,S509,,,50.0,7.0,120.0,1,3.19
sample 8,S510,,,50.0,9.0,120.0,1,2.88
sample 8,S511,,,50.0,11.0,120.0,1,2.64
sample 8,S512,,,50.0,13.0,120.0,1,1.67
sample 8,S513,,,50.0,5.0,120.0,2,0.53
sample 8,S514,,,50.0,7.0,120.0,2,3.08
sample 8,S515,,,50.0,9.0,120.0,2,2.47
sample 8,S516,,,50.0,11.0,120.0,2,2.51
sample 8,S517,,,50.0,13.0,120.0,2,2.17
sample 8,S518,,,50.0,5.0,120.0,3,0.59
sample 8,S519,,,50.0,7.0,120.0,3,2.82
sample 8,S520,,,50.0,9.0,120.0,3,2.34
sample 8,S521,,,50.0,11.0,120.0,3,3.06
sample 8,S522,,,50.0,13.0,120.0,3,1.88
sample 8,S523,,,50.0,5.0,130.0,1,0.84
sample 8,S524,,,50.0,7.0,130.0,1,3.1
sample 8,S525,,,50.0,9.0,130.0,1,1.73
sample 8,S526,,,50.0,11.0,130.0,1,2.9
sample 8,S527,,,50.0,13.0,130.0,1,1.6
sample 8,S528,,,50.0,5.0,130.0,2,0.77
sample 8,S529,,,50.0,7.0,130.0,2,3.13
sample 8,S530,,,50.0,9.0,130.0,2,1.68
sample 8,S531,,,50.0,11.0,130.0,2,3.31
sample 8,S532,,,50.0,13.0,130.0,2,1.81
sample 8,S533,,,50.0,5.0,130.0,3,0.79
sample 8,S534,,,50.0,7.0,130.0,3,2.1
sample 8,S535,,,50.0,9.0,130.0,3,1.82
sample 8,S536,,,50.0,11.0,130.0,3,2.76
sample 8,S537,,,50.0,13.0,130.0,3,1.52
sample 8,S538,,,50.0,5.0,140.0,1,1.04
sample 8,S539,,,50.0,7.0,140.0,1,2.37
sample 8,S540,,,50.0,9.0,140.0,1,1.88
sample 8,S541,,,50.0,11.0,140.0,1,2.65
sample 8,S542,,,50.0,13.0,140.0,1,1.93
sample 8,S543,,,50.0,5.0,140.0,2,0.93
sample 8,S544,,,50.0,7.0,140.0,2,2.17
sample 8,S545,,,50.0,9.0,140.0,2,1.66
sample 8,S546,,,50.0,11.0,140.0,2,2.86
sample 8,S547,,,50.0,13.0,140.0,2,1.92
sample 8,S548,,,50.0,5.0,140.0,3,1.22
sample 8,S549,,,50.0,7.0,140.0,3,2.49
sample 8,S550,,,50.0,9.0,140.0,3,1.71
sample 8,S551,,,50.0,11.0,140.0,3,2.72
sample 8,S552,,,50.0,13.0,140.0,3,1.79
sample 8,S553,,,50.0,5.0,150.0,1,0.89
sample 8,S554,,,50.0,7.0,150.0,1,3.23
sample 8,S555,,,50.0,9.0,150.0,1,2.31
sample 8,S556,,,50.0,11.0,150.0,1,1.98
sample 8,S557,,,50.0,13.0,150.0,1,2.96
sample 8,S558,,,50.0,5.0,150.0,2,0.9
sample 8,S559,,,50.0,7.0,150.0,2,3.56
sample 8,S560,,,50.0,9.0,150.0,2,1.78
sample 8,S561,,,50.0,11.0,150.0,2,2.34
sample 8,S562,,,50.0,13.0,150.0,2,2.91
sample 8,S563,,,50.0,5.0,150.0,3,1.06
sample 8,S564,,,50.0,7.0,150.0,3,3.01
sample 8,S565,,,50.0,9.0,150.0,3,2.37
sample 8,S566,,,50.0,11.0,150.0,3,2.01
sample 8,S567,,,50.0,13.0,150.0,3,2.4
